Country,Admin Area,Population Density
Panama,Bocas del Toro,37.916539928383266
Panama,Chiriquí,71.95688169483348
Panama,Ngöbe Buglé,33.101801545639184
Panama,Veraguas,22.480430628463548
Panama,Darién,4.813694758452515
Panama,Emberá,2.937968063490315
Panama,Coclé,55.90855888198424
Panama,Colón,63.9920764478898
Panama,Kuna Yala,13.298336262819516
Panama,Herrera,49.72830475295629
Panama,Los Santos,25.52459375337225
Panama,Panamá,180.52030822672285
Nicaragua,Atlantico Norte,19.4545194135806
Nicaragua,Atlantico Sur,16.35869563801967
Nicaragua,Boaco,43.72052825963878
Nicaragua,Carazo,184.44798262475064
Nicaragua,Chinandega,110.4656455021261
Nicaragua,Chontales,26.60757011368947
Nicaragua,Esteli,104.43091467692372
Nicaragua,Granada,172.426770140745
Nicaragua,Jinotega,59.55154677843755
Nicaragua,Leon,48.36528206912943
Nicaragua,Madriz,106.1328517536428
Nicaragua,Managua,456.0248387232092
Nicaragua,Masaya,623.0768607799542
Nicaragua,Matagalpa,76.83665621240955
Nicaragua,Nueva Segovia,92.22648120803572
Nicaragua,Rio San Juan,27.386594620377302
Nicaragua,Rivas,86.71855134351584
El Salvador,Ahuachapan,320.85212369193846
El Salvador,Cabanas,147.15365012122484
El Salvador,Chalatenango,129.15372149730754
El Salvador,Cuscatlan,423.7490788264797
El Salvador,La Libertad,524.572211741607
El Salvador,La Paz,323.39805741198705
El Salvador,La Union,115.51518371563122
El Salvador,Morazan,148.18207936178732
El Salvador,San Miguel,227.83915987765144
El Salvador,San Salvador,2056.8428097554993
El Salvador,San Vicente,155.80809432031316
El Salvador,Santa Ana,303.9970774360765
El Salvador,Sonsonate,430.63208045523487
El Salvador,Usulutan,198.70984195452368
Honduras,Atlantida,135.68691342129128
Honduras,Choluteca,134.4835230557731
Honduras,Colon,52.41907647058897
Honduras,Comayagua,131.7873044041651
Honduras,Copan,156.7869023785217
Honduras,Cortes,617.7824223331486
Honduras,Francisco Morazan,217.01801166606472
Honduras,Gracias A Dios,9.404893318675198
Honduras,Intibuca,101.56633340556223
Honduras,Islas De Bahia,372.5281189252373
Honduras,La Paz,103.33832801583425
Honduras,Lempira,97.42040091275477
Honduras,Name Unknown,80.59701198206051
Honduras,Ocotepeque,103.9358211531501
Honduras,Olancho,29.499812553461688
Honduras,Paraiso,85.24373460646129
Honduras,Santa Barbara,104.6769511143409
Honduras,Valle,127.78275482595059
Honduras,Yoro,96.64870445642214
Guatemala,Guatemala,1612.5960118299024
Guatemala,El Progreso,113.3042264889558
Guatemala,Sacatepéquez,694.1281487656646
Guatemala,Chimaltenango,424.4441321174301
Guatemala,Escuintla,179.8182276059491
Guatemala,Santa Rosa,138.17528217338872
Guatemala,Sololá,552.2850944834207
Guatemala,Totonicapán,559.6874974032521
Guatemala,Quetzaltenango,459.2153538713475
Guatemala,Suchitepéquez,284.0673484320777
Guatemala,Retalhuleu,206.66750897526808
Guatemala,San Marcos,357.29331966326777
Guatemala,Huehuetenango,185.0766329943992
Guatemala,Quiché,182.77418765029762
Guatemala,Baja Verapaz,120.40291869493439
Guatemala,Alta Verapaz,137.9130626420632
Guatemala,Petén,24.708467832764203
Guatemala,Izabal,65.31910450969247
Guatemala,Zacapa,95.7047580182511
Guatemala,Chiquimula,185.73582537210697
Guatemala,Jalapa,202.9861839877958
Guatemala,Jutiapa,157.88024973090725
Costa Rica,Alajuela,101.21271974022429
Costa Rica,Cartago,183.04231428414354
Costa Rica,Guanacaste,38.798380759213835
Costa Rica,Heredia,197.53149906829046
Costa Rica,Limon,47.55828938989219
Costa Rica,Puntarenas,41.774107352189134
Costa Rica,San Jose,295.36914535409846
Belize,Belize,40.23422097470489
Belize,Cayo,17.050544142859085
Belize,Corozal,27.612883639311534
Belize,Orange Walk,12.745393541685482
Belize,Stann Creek,20.925442722882483
Belize,Toledo,8.114839908933671
